date,ticker,field,value
2025-07-07,SANB11 BZ Equity,PX_LAST,26.816
2025-07-08,SANB11 BZ Equity,PX_LAST,26.927
2025-07-09,SANB11 BZ Equity,PX_LAST,26.51
2025-07-10,SANB11 BZ Equity,PX_LAST,25.917
2025-07-11,SANB11 BZ Equity,PX_LAST,25.722
2025-07-14,SANB11 BZ Equity,PX_LAST,25.194
2025-07-15,SANB11 BZ Equity,PX_LAST,25.768
2025-07-16,SANB11 BZ Equity,PX_LAST,25.676
2025-07-17,SANB11 BZ Equity,PX_LAST,26.139
2025-07-18,SANB11 BZ Equity,PX_LAST,24.85
2025-07-21,SANB11 BZ Equity,PX_LAST,24.794
2025-07-22,SANB11 BZ Equity,PX_LAST,24.945
2025-07-23,SANB11 BZ Equity,PX_LAST,25.058
2025-07-24,SANB11 BZ Equity,PX_LAST,24.945
2025-07-25,SANB11 BZ Equity,PX_LAST,24.983
2025-07-28,SANB11 BZ Equity,PX_LAST,24.888
2025-07-29,SANB11 BZ Equity,PX_LAST,24.916
2025-07-30,SANB11 BZ Equity,PX_LAST,25.134
2025-07-31,SANB11 BZ Equity,PX_LAST,24.973
2025-08-01,SANB11 BZ Equity,PX_LAST,24.397
2025-08-04,SANB11 BZ Equity,PX_LAST,24.898
2025-08-05,SANB11 BZ Equity,PX_LAST,24.652
2025-08-06,SANB11 BZ Equity,PX_LAST,24.831
2025-08-07,SANB11 BZ Equity,PX_LAST,25.134
2025-08-08,SANB11 BZ Equity,PX_LAST,25.361
2025-08-11,SANB11 BZ Equity,PX_LAST,25.238
2025-08-12,SANB11 BZ Equity,PX_LAST,25.568
2025-08-13,SANB11 BZ Equity,PX_LAST,25.512
2025-08-14,SANB11 BZ Equity,PX_LAST,25.379
2025-08-15,SANB11 BZ Equity,PX_LAST,25.446
2025-08-18,SANB11 BZ Equity,PX_LAST,25.767
2025-08-19,SANB11 BZ Equity,PX_LAST,24.51
2025-08-20,SANB11 BZ Equity,PX_LAST,25.02
2025-08-21,SANB11 BZ Equity,PX_LAST,25.039
2025-08-22,SANB11 BZ Equity,PX_LAST,25.625
2025-08-25,SANB11 BZ Equity,PX_LAST,25.805
2025-08-26,SANB11 BZ Equity,PX_LAST,25.975
2025-08-27,SANB11 BZ Equity,PX_LAST,26.23
2025-08-28,SANB11 BZ Equity,PX_LAST,26.627
2025-08-29,SANB11 BZ Equity,PX_LAST,26.664
2025-09-01,SANB11 BZ Equity,PX_LAST,26.655
2025-09-02,SANB11 BZ Equity,PX_LAST,26.551
2025-09-03,SANB11 BZ Equity,PX_LAST,26.532
2025-09-04,SANB11 BZ Equity,PX_LAST,26.636
2025-09-05,SANB11 BZ Equity,PX_LAST,27.581
2025-09-08,SANB11 BZ Equity,PX_LAST,27.109
2025-09-09,SANB11 BZ Equity,PX_LAST,27.052
2025-09-10,SANB11 BZ Equity,PX_LAST,27.09
2025-09-11,SANB11 BZ Equity,PX_LAST,27.383
2025-09-12,SANB11 BZ Equity,PX_LAST,27.08
2025-09-15,SANB11 BZ Equity,PX_LAST,27.213
2025-09-16,SANB11 BZ Equity,PX_LAST,27.279
2025-09-17,SANB11 BZ Equity,PX_LAST,27.902
2025-09-18,SANB11 BZ Equity,PX_LAST,27.666
2025-09-19,SANB11 BZ Equity,PX_LAST,27.477
2025-09-22,SANB11 BZ Equity,PX_LAST,27.231
2025-09-23,SANB11 BZ Equity,PX_LAST,27.6
2025-09-24,SANB11 BZ Equity,PX_LAST,27.298
2025-09-25,SANB11 BZ Equity,PX_LAST,27.005
2025-09-26,SANB11 BZ Equity,PX_LAST,27.628
2025-09-29,SANB11 BZ Equity,PX_LAST,27.732
2025-09-30,SANB11 BZ Equity,PX_LAST,27.779
2025-10-01,SANB11 BZ Equity,PX_LAST,27.354
2025-10-02,SANB11 BZ Equity,PX_LAST,27.298
2025-10-03,SANB11 BZ Equity,PX_LAST,27.241
2025-10-06,SANB11 BZ Equity,PX_LAST,27.014
2025-10-07,SANB11 BZ Equity,PX_LAST,26.457
2025-10-08,SANB11 BZ Equity,PX_LAST,26.4
2025-10-09,SANB11 BZ Equity,PX_LAST,26.75
2025-10-10,SANB11 BZ Equity,PX_LAST,26.173
2025-10-13,SANB11 BZ Equity,PX_LAST,26.211
2025-10-14,SANB11 BZ Equity,PX_LAST,25.937
2025-10-15,SANB11 BZ Equity,PX_LAST,26.39
2025-10-16,SANB11 BZ Equity,PX_LAST,26.466
2025-10-17,SANB11 BZ Equity,PX_LAST,26.646
2025-10-20,SANB11 BZ Equity,PX_LAST,27.307
2025-10-21,SANB11 BZ Equity,PX_LAST,27.175
2025-10-22,SANB11 BZ Equity,PX_LAST,27.392
2025-10-23,SANB11 BZ Equity,PX_LAST,27.614
2025-10-24,SANB11 BZ Equity,PX_LAST,28.028
2025-10-27,SANB11 BZ Equity,PX_LAST,28.307
2025-10-28,SANB11 BZ Equity,PX_LAST,28.268
2025-10-29,SANB11 BZ Equity,PX_LAST,28.721
